rank	support	file	pattern
1	838	001_kyfunc_l56_ruf_l12.txt	KYFUNC_L56 RUF_L12
2	563	002_xref_dot_wl.txt	XREF=см DOT WL
3	558	003_kyfunc_l34_ruf_l12.txt	KYFUNC_L34 RUF_L12
4	454	004_xref_dot_wl_rparen.txt	XREF=см DOT WL RPAREN
5	386	005_lparen_xref_dot_wl.txt	LPAREN XREF=см DOT WL
6	218	006_ruf_l12_tozhe.txt	RUF_L12 TOZHE=же
7	215	007_kyfunc_l34_ruf_l34.txt	KYFUNC_L34 RUF_L34
8	195	008_tozhe_comma_ruf.txt	TOZHE=же COMMA RUF=что
9	194	009_ruf_l12_tozhe_comma.txt	RUF_L12 TOZHE=же COMMA
10	191	010_ruf_l12_tozhe_comma_ruf_wl.txt	RUF_L12 TOZHE=же COMMA RUF=что WL
11	180	011_kyfunc_l56_ruf_l34.txt	KYFUNC_L56 RUF_L34
12	165	012_amb_l56_kyfunc_l56_ruf_l12.txt	AMB_L56 KYFUNC_L56 RUF_L12
13	152	013_hyph_alt.txt	HYPH ALT=или
14	145	014_kyfunc_l56_ruf_l12_amb_l56.txt	KYFUNC_L56 RUF_L12 AMB_L56
15	141	015_ky_l56_kyfunc_l34.txt	KY_L56 KYFUNC_L34
16	137	016_ky_l56_kyfunc_l56.txt	KY_L56 KYFUNC_L56
17	135	017_kyfunc_l56_ruf_l12_amb_l34.txt	KYFUNC_L56 RUF_L12 AMB_L34
18	135	018_ky_l56_sfx_kyfunc_l56.txt	KY_L56_SFX=ып KYFUNC_L56
19	134	019_ky_l34_kyfunc_l34.txt	KY_L34 KYFUNC_L34
20	128	020_alt_ky_l56.txt	ALT=или KY_L56
21	126	021_ky_l34_kyfunc_l56.txt	KY_L34 KYFUNC_L56
22	118	022_amb_l34_kyfunc_l34_ruf_l12.txt	AMB_L34 KYFUNC_L34 RUF_L12
23	117	023_kyfunc_l34_ruf_l12_ruf_l34.txt	KYFUNC_L34 RUF_L12 RUF_L34
24	117	024_amb_l56_kyfunc_l34_ruf_l12.txt	AMB_L56 KYFUNC_L34 RUF_L12
25	115	025_kyfunc_l56_ruf_l12_amb_l78.txt	KYFUNC_L56 RUF_L12 AMB_L78
26	109	026_kyfunc_l56_ruf_l12_ruf_l34.txt	KYFUNC_L56 RUF_L12 RUF_L34
27	107	027_kyfunc_l34_ruf_l12_amb_l34.txt	KYFUNC_L34 RUF_L12 AMB_L34
28	106	028_alt_ky_l34.txt	ALT=или KY_L34
29	105	029_kyfunc_l34_ruf_l12_ruf_l12.txt	KYFUNC_L34 RUF_L12 RUF_L12
30	101	030_alt_ruf_l12.txt	ALT=или RUF_L12
31	97	031_ruf_l12_tozhe_comma_ruf_wl_lparen.txt	RUF_L12 TOZHE=же COMMA RUF=что WL LPAREN
32	98	032_ky_l78_kyfunc_l34.txt	KY_L78 KYFUNC_L34
33	90	033_alt_amb_l34_hyph.txt	ALT=или AMB_L34 HYPH
34	87	034_ky_l78_kyfunc_l56.txt	KY_L78 KYFUNC_L56
35	86	035_amb_l34_kyfunc_l56_ruf_l12.txt	AMB_L34 KYFUNC_L56 RUF_L12
36	83	036_kyfunc_l56_sfx_kyfunc_l56.txt	KYFUNC_L56_SFX=уп KYFUNC_L56
37	83	037_ky_l78_sfx_kyfunc_l56.txt	KY_L78_SFX=ып KYFUNC_L56
38	79	038_amb_l34_hyph_alt.txt	AMB_L34 HYPH ALT=или
39	79	039_spdash_ruf_l12.txt	SPDASH RUF_L12
40	78	040_kyfunc_l56_ruf_l12_amb_l9p.txt	KYFUNC_L56 RUF_L12 AMB_L9P
41	78	041_ky_l56_sfx_kyfunc_l56.txt	KY_L56_SFX=ип KYFUNC_L56
42	74	042_wl_lparen_xref_dot_wl.txt	WL LPAREN XREF=см DOT WL
43	75	043_wl_lparen_xref_dot.txt	WL LPAREN XREF=см DOT
44	72	044_wl_lparen_xref_dot_wl_rparen.txt	WL LPAREN XREF=см DOT WL RPAREN
45	73	045_kyfunc_l56_sfx_ruf_l12.txt	KYFUNC_L56_SFX=ган RUF_L12
46	72	046_amb_l78_kyfunc_l56_ruf_l12.txt	AMB_L78 KYFUNC_L56 RUF_L12
47	71	047_kyfunc_l34_kyfunc_l34.txt	KYFUNC_L34 KYFUNC_L34
48	70	048_ky_l56_sfx_kyfunc_l56_ruf_l12.txt	KY_L56_SFX=ып KYFUNC_L56 RUF_L12
49	67	049_tozhe_comma_ruf_wl_lparen_xref.txt	TOZHE=же COMMA RUF=что WL LPAREN XREF=см
50	69	050_kyfunc_l34_ruf_l12_amb_l56.txt	KYFUNC_L34 RUF_L12 AMB_L56
51	69	051_ky_l56_alt.txt	KY_L56 ALT=или
52	66	052_ruf_wl_lparen_xref_dot_wl.txt	RUF=что WL LPAREN XREF=см DOT WL
53	67	053_comma_ruf_wl_lparen_xref_dot.txt	COMMA RUF=что WL LPAREN XREF=см DOT
54	68	054_kyfunc_l12_ruf_l12.txt	KYFUNC_L12 RUF_L12
55	66	055_kyfunc_l56_ru_l56.txt	KYFUNC_L56 RU_L56
56	64	056_alt_amb_l56_hyph.txt	ALT=или AMB_L56 HYPH
57	64	057_amb_l78_kyfunc_l34_ruf_l12.txt	AMB_L78 KYFUNC_L34 RUF_L12
58	60	058_ruf_l34_tozhe.txt	RUF_L34 TOZHE=же
59	59	059_xref_dot_wl_dot.txt	XREF=см DOT WL DOT
60	57	060_kyfunc_l34_ruf_l34_ruf_l12.txt	KYFUNC_L34 RUF_L34 RUF_L12
61	56	061_kyfunc_l34_ky_l34.txt	KYFUNC_L34 KY_L34
62	54	062_hyph_alt_amb_l34.txt	HYPH ALT=или AMB_L34
63	53	063_kyfunc_l56_amb_l56_ruf_l12.txt	KYFUNC_L56 AMB_L56 RUF_L12
64	53	064_alt_ky_l78.txt	ALT=или KY_L78
65	53	065_ky_l34_alt.txt	KY_L34 ALT=или
66	51	066_spdash_ruf_l34.txt	SPDASH RUF_L34
67	50	067_ky_l56_sfx_kyfunc_l56_sfx.txt	KY_L56_SFX=ып KYFUNC_L56_SFX=ган
68	48	068_kyfunc_l34_ruf_l12_ruf_l34_ruf_l34.txt	KYFUNC_L34 RUF_L12 RUF_L34 RUF_L34
69	48	069_kyfunc_l34_amb_l56_ruf_l12.txt	KYFUNC_L34 AMB_L56 RUF_L12
70	48	070_kyfunc_l34_ky_l56.txt	KYFUNC_L34 KY_L56
71	48	071_ky_l56_sfx_kyfunc_l56.txt	KY_L56_SFX=үп KYFUNC_L56
72	47	072_kyfunc_l12_ru_l34.txt	KYFUNC_L12 RU_L34
73	47	073_ky_l56_sfx_kyfunc_l56.txt	KY_L56_SFX=уп KYFUNC_L56
74	46	074_kyfunc_l56_kyfunc_l34.txt	KYFUNC_L56 KYFUNC_L34
75	46	075_ky_l78_sfx_kyfunc_l56_ruf_l12.txt	KY_L78_SFX=ып KYFUNC_L56 RUF_L12
76	46	076_hyph_amb_l56_alt.txt	HYPH AMB_L56 ALT=или
77	45	077_spdash_kyfunc_l34.txt	SPDASH KYFUNC_L34
78	44	078_kyfunc_l56_ruf_l12_ruf_l12.txt	KYFUNC_L56 RUF_L12 RUF_L12
79	43	079_amb_l56_kyfunc_l34_ruf_l34.txt	AMB_L56 KYFUNC_L34 RUF_L34
80	43	080_kyfunc_l34_amb_l34_ruf_l12.txt	KYFUNC_L34 AMB_L34 RUF_L12
81	42	081_ky_l9p_kyfunc_l56.txt	KY_L9P KYFUNC_L56
82	41	082_kyfunc_l56_alt.txt	KYFUNC_L56 ALT=или
83	40	083_ky_l56_kyfunc_l34_ruf_l12.txt	KY_L56 KYFUNC_L34 RUF_L12
84	40	084_kyfunc_l56_ky_l78.txt	KYFUNC_L56 KY_L78
85	40	085_ky_l56_kyfunc_l12.txt	KY_L56 KYFUNC_L12
86	38	086_ruf_l12_tozhe_comma_ruf_wl_dot.txt	RUF_L12 TOZHE=же COMMA RUF=что WL DOT
87	39	087_ky_l9p_kyfunc_l34.txt	KY_L9P KYFUNC_L34
